[09:12:51:987] Waiting for Dofus.exe process...
[09:12:52:087] Running sniffer server. Waiting Dofus client connection...
[09:12:58:012] Dofus client connected.
[09:12:58:041] Running sniffer client. Connection to Dofus server.
[09:13:01:026] Sending message 182 (BasicPingMessage)
[09:13:01:052] Receiving message 1 (ProtocolRequired)
[09:13:01:278] Receiving message 3 (HelloConnectMessage)
[09:13:01:278] Receiving message 183 (BasicPongMessage)
[09:13:01:455] Sending message 4 (IdentificationMessage)
[09:13:01:503] Receiving message 10 (LoginQueueStatusMessage)
[09:13:01:731] Receiving message 6314 (CredentialsAcknowledgementMessage)
[09:13:01:731] Receiving message 10 (LoginQueueStatusMessage)
[09:13:01:731] Receiving message 22 (IdentificationSuccessMessage)
[09:13:01:731] Receiving message 30 (ServersListMessage)
[09:14:22:346] Sending message 40 (ServerSelectionMessage)
[09:14:22:394] Receiving message 42 (SelectedServerDataMessage)
[09:14:22:396] Deconnection from Dofus client.
[09:14:22:396] Deconnected from authentification server.
[09:14:22:398] Waiting client reconnection...
[09:14:22:414] Dofus client reconnected.
[09:14:22:414] Connecting to game server, waiting response...
[09:14:23:679] Receiving message 1 (ProtocolRequired)
[09:14:23:679] Receiving message 101 (HelloGameMessage)
[09:14:23:696] Sending message 110 (AuthenticationTicketMessage)
[09:14:23:719] Receiving message 6362 (BasicAckMessage)
[09:14:23:984] Receiving message 6253 (RawDataMessage)
[09:14:25:146] Sending message 6372 (CheckIntegrityMessage)
[09:14:25:170] Receiving message 6362 (BasicAckMessage)
[09:14:25:390] Receiving message 111 (AuthentificationTicketAcceptedMessage)
[09:14:25:390] Receiving message 175 (AtlasPointsInformations)
[09:14:25:390] Receiving message 6340 (ServerSettingsMessage)
[09:14:25:390] Receiving message 6305 (ServerOptionalFeaturesMessage)
[09:14:25:390] Receiving message 6434 (ServerSessionConstantsMessage)
[09:14:25:390] Receiving message 6216 (AccountCapabilitiesMessage)
[09:14:25:390] Receiving message 6267 (TrustStatusMessage)
[09:14:28:230] Sending message 150 (CharactersListRequestMessage)
[09:14:28:255] Receiving message 6362 (BasicAckMessage)
[09:14:28:255] Receiving message 6100 (QueueStatusMessage)
[09:14:28:255] Receiving message 6100 (QueueStatusMessage)
